City,AQI,PM2.5/h,PM10/h,CO/h,NO/h,CO/h,CO8h,SO2/h
阿坝州,99,36,146,1.57,41,27,59,21
阿克苏地区,161,122,188,2.6,89,14,31,17
阿拉善盟,47,27,43,0.47,13,88,93,13
阿勒泰地区,49,14,48,0.75,51,41,53,35
阿里地区,33,8,9,0.4,13,64,64,8
安康,156,118,202,2.63,78,35,62,26
安庆,115,86,126,0.78,63,53,66,17
鞍山,48,33,35,1.47,38,27,45,38
安顺,229,178,275,1.27,62,52,99,101
安阳,143,109,161,1.68,88,8,35,39
白城,46,13,45,0.7,10,53,64,23
百色,192,144,175,1.7,86,36,82,12
白山,54,37,43,0.7,20,49,59,22
白银,127,96,158,1.55,81,13,56,116
保定,93,69,126,1.9,98,11,41,24
宝鸡,189,142,191,1.45,89,15,47,19
保山,56,17,60,0.5,16,70,92,8
包头,94,50,135,2.28,84,5,40,54
巴彦淖尔,127,96,186,1.53,57,14,43,51
巴中,131,99,123,1.3,29,18,16,3
北海,121,91,133,1.2,33,98,120,15
北京,61,43,69,0.98,65,15,37,9
蚌埠,141,107,174,1.1,97,18,47,48
本溪,55,26,58,1.02,37,21,35,36
毕节,196,147,225,1.4,51,97,120,17
滨州,44,18,43,0.7,31,37,52,16
博州,66,40,79,1.9,54,8,24,21
亳州,195,146,226,1.1,57,49,62,31
沧州,61,41,69,0.57,49,27,54,26
长春,58,37,63,0.84,43,21,41,47
常德,171,129,158,1.52,91,53,78,19
昌都,77,46,101,1.95,30,51,66,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,96,71,113,1.37,29,37,41,13
长沙,128,97,120,1.12,87,39,72,18
常熟,78,56,104,0.97,87,21,46,24
长治,77,53,102,2.52,75,20,58,83
常州,97,72,121,1.77,101,8,33,33
朝阳,86,63,77,1.3,41,25,54,114
潮州,100,75,125,1.33,39,107,141,23
承德,74,44,95,1.68,50,4,35,36
成都,120,90,128,1.11,74,47,76,9
郴州,89,66,112,1.62,73,61,98,37
赤峰,54,33,56,1.5,32,21,32,31
池州,154,117,178,1.27,96,50,54,25
重庆,224,173,243,1.83,100,9,25,10
崇左,108,80,138,1.25,79,88,163,13
楚雄州,65,38,78,0.95,32,57,80,23
滁州,156,118,182,1.4,153,10,43,22
大连,34,18,33,0.68,33,33,49,19
大理州,72,25,91,0.8,67,37,80,5
丹东,38,14,37,0.98,15,47,51,14
大庆,50,35,42,0.8,39,35,47,14
大同,83,61,99,2.13,58,11,31,101
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,40,15,25,0.4,13,82,79,22
达州,215,164,222,2.24,66,47,47,10
德宏州,71,43,90,1.5,60,27,66,10
德阳,131,99,150,1.23,48,42,77,6
德州,70,43,87,1.2,56,27,46,20
定西,105,78,141,1.25,64,30,50,72
迪庆州,47,7,31,0.55,14,83,93,9
东莞,110,82,115,1.4,120,38,123,22
东营,35,11,34,0.5,30,41,59,13
鄂尔多斯,64,31,76,0.95,50,49,66,31
恩施州,128,97,157,1.65,68,11,59,6
鄂州,78,54,103,1.77,93,26,65,9
防城港,115,86,119,1.13,42,118,119,16
佛山,113,84,128,1.23,123,41,103,22
抚顺,59,41,55,1.2,52,18,44,26
阜新,93,69,57,1.08,38,24,51,53
阜阳,164,124,185,1.07,84,21,63,16
富阳,119,59,185,1.1,49,91,87,18
福州,61,37,70,0.66,33,92,89,8
抚州,121,91,128,0.8,42,61,76,21
甘南州,108,44,164,2.8,78,14,51,35
赣州,80,58,94,1.46,34,112,122,22
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,76,55,75,0.5,10,87,91,18
广安,158,120,171,1.34,31,40,50,9
广元,75,49,97,1.6,69,34,51,23
广州,109,81,132,1.35,153,23,95,22
贵港,139,106,195,1.58,84,53,105,22
桂林,128,97,140,1.13,72,83,128,40
贵阳,157,119,193,1.22,65,66,93,60
果洛州,53,22,33,0.8,20,97,102,21
固原,66,35,80,1.33,76,24,81,17
哈尔滨,66,47,45,0.96,48,38,50,39
海北州,44,18,37,0.5,31,55,86,22
海东地区,51,27,50,1.1,73,9,64,14
海口,78,57,91,0.78,18,122,119,9
海门,63,41,73,0.57,21,60,62,9
海南州,72,39,92,1.6,33,29,65,12
海西州,50,29,49,0.7,11,82,73,19
哈密地区,99,74,84,1.95,36,19,38,4
邯郸,148,113,146,1.68,94,4,26,56
杭州,132,100,169,1.18,98,29,57,17
汉中,206,155,212,3.6,75,27,63,28
鹤壁,114,85,149,1.87,102,13,43,28
河池,117,86,181,1.15,64,37,79,14
合肥,122,92,170,1.53,118,11,39,20
鹤岗,36,12,26,0.47,4,76,70,6
黑河,35,13,23,0.7,5,73,69,9
衡水,77,53,101,1.17,66,14,44,20
衡阳,109,81,117,1.23,64,53,76,43
和田地区,83,43,113,1.85,47,47,63,16
河源,96,71,130,1.5,83,55,116,8
菏泽,215,164,311,2.77,102,14,34,36
贺州,144,110,186,1.55,64,62,121,16
红河州,126,95,114,0.63,22,93,112,10
淮安,148,113,226,1.2,63,36,42,26
淮北,143,109,179,1.33,93,20,43,26
怀化,116,87,135,1.18,67,63,109,26
淮南,163,123,197,1.3,95,18,57,44
黄冈,103,76,112,1.35,89,31,78,15
黄南州,73,49,94,2.0,70,10,49,76
黄山,94,70,120,0.87,37,50,66,8
黄石,109,81,135,1.35,85,14,37,22
呼和浩特,126,95,165,2.38,90,9,33,66
惠州,109,81,136,1.6,101,65,131,13
葫芦岛,68,40,84,1.38,56,14,43,54
呼伦贝尔,45,31,38,0.6,21,38,45,4
湖州,121,91,124,1.23,82,51,63,20
佳木斯,29,14,22,0.34,9,61,57,9
吉安,75,54,86,0.73,35,71,93,23
江门,146,111,167,1.45,122,59,107,25
江阴,126,95,167,0.97,105,13,30,25
胶南,70,37,87,1.05,77,13,47,16
胶州,68,38,83,0.95,66,8,48,25
焦作,115,86,176,1.68,58,42,54,33
嘉兴,113,84,138,1.17,94,24,76,15
嘉峪关,78,24,104,1.35,71,18,46,27
揭阳,108,80,112,1.23,49,89,157,22
吉林,55,36,58,1.0,25,44,52,17
即墨,55,22,57,0.85,43,30,46,19
济南,104,68,155,1.45,82,5,29,47
金昌,64,25,75,0.87,30,64,73,8
晋城,174,131,198,2.02,63,44,57,56
景德镇,94,66,136,1.36,56,11,61,23
荆门,139,98,226,1.74,97,23,69,37
荆州,135,102,176,2.37,116,13,62,52
金华,149,114,140,0.8,82,43,85,20
济宁,170,128,216,1.8,111,8,31,57
金坛,144,110,150,1.6,97,16,70,18
晋中,167,126,270,2.75,94,7,29,131
锦州,67,48,51,1.24,42,27,47,65
九江,81,52,110,0.66,56,49,65,19
酒泉,133,94,214,2.05,83,9,63,27
鸡西,28,15,27,0.33,8,59,54,1
句容,170,128,221,0.5,65,17,62,14
开封,209,158,210,1.97,90,11,53,39
喀什地区,131,99,151,1.75,43,63,59,11
克拉玛依,75,54,89,0.9,29,18,27,8
克州,146,111,130,1.9,24,56,53,3
库尔勒,105,78,120,1.33,20,37,40,9
昆明,86,55,119,1.53,81,22,59,19
昆山,91,57,129,0.95,105,11,43,11
来宾,206,155,168,1.8,57,93,130,43
莱芜,141,107,163,1.43,91,7,45,43
莱西,63,40,74,1.0,38,26,46,23
莱州,62,22,71,1.1,48,17,42,14
廊坊,60,39,67,0.87,57,19,39,10
兰州,159,118,265,5.82,170,9,44,99
拉萨,45,15,40,0.87,31,74,89,6
乐山,120,90,129,1.88,57,61,51,10
凉山州,77,56,75,0.98,33,77,90,15
连云港,40,23,39,0.74,23,60,57,17
聊城,95,70,137,1.13,63,26,45,37
辽阳,68,40,84,1.4,50,14,41,36
辽源,29,20,25,1.0,22,42,50,8
丽江,55,23,58,1.17,33,83,89,12
临安,188,141,259,1.5,115,27,66,17
临沧,71,45,90,1.65,47,44,88,12
临汾,336,285,410,6.3,110,5,19,185
临夏州,223,172,217,4.6,105,20,50,80
临沂,83,60,114,1.55,54,21,32,24
林芝,48,15,47,0.35,8,93,87,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,138,105,159,1.63,71,35,84,8
六盘水,229,178,248,1.98,71,36,58,48
